dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store,gu,landsize
이문동,2438205.585,4.040866787,8.081733573,0.577266684,0,0,1,동대문구,1732301.6
이촌동,7519414.448,0.735956153,0.245318718,0.735956153,0,0,0,용산구,4076329.8
이태원동,5077319.151,18.88360016,9.092103781,1.398785197,0,0,0,용산구,1429812.1
이화동,2408211.043,0,0,0,0,0,0,종로구,122431.7
익선동,4518320.261,129.0372531,215.0620884,0,0,0,0,종로구,46498.2
인사동,14236479.59,114.7055365,71.69096034,0,0,0,0,종로구,69743.8
인의동,6451634.199,60.4667306,0,0,0,0,0,종로구,82690.1
인현동1가,8020051.282,89.7213032,22.4303258,0,0,0,0,중구,44582.5
인현동2가,7881053.731,28.39170905,28.39170905,14.19585453,0,0,0,중구,70443.1
일원동,3497080.014,0,0,2.577855007,1,1,0,강남구,3103355.3
입정동,9851072.139,0,50.56493676,0,0,0,0,중구,39553.1
